,Calendar
96,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 57 z 80     Út 18.5.   Volná kapacita 69 z 80     St 19.5.   Volná kapacita31 z 80     Čt 20.5.   Volná kapacita 58 z 80     Pá 21.5.   Volná kapacita32 z 80     So 22.5.   Zavřeno
97,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 45 z 75     Út 18.5.   Volná kapacita 62 z 66     St 19.5.   Volná kapacita 61 z 66     Čt 20.5.   Volná kapacita 59 z 68     Pá 21.5.   Volná kapacita 47 z 54     So 22.5.   Zavřeno
98,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
99,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
100,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
101,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
102,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Volná kapacita 22 z 42     St 19.5.   Volná kapacita 41 z 42     Čt 20.5.   Volná kapacita 35 z 42     Pá 21.5.   Volná kapacita 39 z 42     So 22.5.   Maximální kapacita
103,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 13 z 13     Út 18.5.   Volná kapacita 77 z 77     St 19.5.   Volná kapacita 95 z 95     Čt 20.5.   Volná kapacita 115 z 115     Pá 21.5.   Volná kapacita 104 z 104     So 22.5.   Maximální kapacita
104,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Maximální kapacita     St 19.5.   Volná kapacita 82 z 100     Čt 20.5.   Volná kapacita 99 z 100     Pá 21.5.   Volná kapacita 100 z 100     So 22.5.   Zavřeno
105,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
106,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
107,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita1 z 45     Út 18.5.   Volná kapacita 35 z 45     St 19.5.   Volná kapacita 40 z 45     Čt 20.5.   Volná kapacita 42 z 45     Pá 21.5.   Volná kapacita 42 z 45     So 22.5.   Zavřeno
108,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 73 z 120     Út 18.5.   Volná kapacita 106 z 120     St 19.5.   Volná kapacita 113 z 120     Čt 20.5.   Volná kapacita 111 z 120     Pá 21.5.   Volná kapacita 112 z 120     So 22.5.   Zavřeno
109,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
110,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Zavřeno     So 22.5.   Zavřeno
111,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 72 z 72     Út 18.5.   Volná kapacita 72 z 72     St 19.5.   Maximální kapacita     Čt 20.5.   Volná kapacita 72 z 72     Pá 21.5.   Maximální kapacita     So 22.5.   Zavřeno
